region_id,year,cohort_id,population_persons,source_observation_class,observation_class,validation_eligible
north_america,2023,child,66469573,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2023,young_adult,128800686,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2023,mature_adult,120130259,OFFICIAL_ESTIMATE,DERIVED,true
north_america,2023,older_adult,67502230,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2023,child,150687596,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2023,young_adult,259154431,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2023,mature_adult,186159690,OFFICIAL_ESTIMATE,DERIVED,true
latin_america_caribbean,2023,older_adult,62889861,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2023,child,68772412,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2023,young_adult,134567808,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2023,mature_adult,157699903,OFFICIAL_ESTIMATE,DERIVED,true
western_northern_europe,2023,older_adult,98515338,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2023,child,72299545,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2023,young_adult,119628713,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2023,mature_adult,118869532,OFFICIAL_ESTIMATE,DERIVED,true
eastern_europe_central_asia,2023,older_adult,56059811,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2023,child,172111769,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2023,young_adult,231573713,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2023,mature_adult,135855362,OFFICIAL_ESTIMATE,DERIVED,true
middle_east_north_africa,2023,older_adult,32965699,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2023,child,497310689,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2023,young_adult,487533072,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2023,mature_adult,189041136,OFFICIAL_ESTIMATE,DERIVED,true
sub_saharan_africa,2023,older_adult,38344559,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2023,child,553189033,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2023,young_adult,858897127,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2023,mature_adult,497415944,OFFICIAL_ESTIMATE,DERIVED,true
south_asia,2023,older_adult,133581068,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2023,child,265983401,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2023,young_adult,540484249,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2023,mature_adult,594322697,OFFICIAL_ESTIMATE,DERIVED,true
east_asia,2023,older_adult,259238200,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2023,child,167431562,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2023,young_adult,271003506,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2023,mature_adult,197908585,OFFICIAL_ESTIMATE,DERIVED,true
southeast_asia,2023,older_adult,53773531,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2023,child,10327188,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2023,young_adult,16445310,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2023,mature_adult,12744412,OFFICIAL_ESTIMATE,DERIVED,true
oceania,2023,older_adult,6045925,OFFICIAL_ESTIMATE,DERIVED,true
