region_id,year,cohort_id,population_persons,source_observation_class,observation_class,validation_eligible
north_america,2026,child,65036466,PROJECTION,DERIVED,false
north_america,2026,young_adult,130099072,PROJECTION,DERIVED,false
north_america,2026,mature_adult,120322804,PROJECTION,DERIVED,false
north_america,2026,older_adult,74170492,PROJECTION,DERIVED,false
latin_america_caribbean,2026,child,146339866,PROJECTION,DERIVED,false
latin_america_caribbean,2026,young_adult,259627781,PROJECTION,DERIVED,false
latin_america_caribbean,2026,mature_adult,195556043,PROJECTION,DERIVED,false
latin_america_caribbean,2026,older_adult,70611912,PROJECTION,DERIVED,false
western_northern_europe,2026,child,66138175,PROJECTION,DERIVED,false
western_northern_europe,2026,young_adult,133698650,PROJECTION,DERIVED,false
western_northern_europe,2026,mature_adult,155897048,PROJECTION,DERIVED,false
western_northern_europe,2026,older_adult,104043549,PROJECTION,DERIVED,false
eastern_europe_central_asia,2026,child,70770973,PROJECTION,DERIVED,false
eastern_europe_central_asia,2026,young_adult,116718283,PROJECTION,DERIVED,false
eastern_europe_central_asia,2026,mature_adult,120649514,PROJECTION,DERIVED,false
eastern_europe_central_asia,2026,older_adult,60489746,PROJECTION,DERIVED,false
middle_east_north_africa,2026,child,173759195,PROJECTION,DERIVED,false
middle_east_north_africa,2026,young_adult,241512868,PROJECTION,DERIVED,false
middle_east_north_africa,2026,mature_adult,147283380,PROJECTION,DERIVED,false
middle_east_north_africa,2026,older_adult,37316767,PROJECTION,DERIVED,false
sub_saharan_africa,2026,child,521899844,PROJECTION,DERIVED,false
sub_saharan_africa,2026,young_adult,530255910,PROJECTION,DERIVED,false
sub_saharan_africa,2026,mature_adult,209388958,PROJECTION,DERIVED,false
sub_saharan_africa,2026,older_adult,42700111,PROJECTION,DERIVED,false
south_asia,2026,child,545169074,PROJECTION,DERIVED,false
south_asia,2026,young_adult,874065197,PROJECTION,DERIVED,false
south_asia,2026,mature_adult,536476056,PROJECTION,DERIVED,false
south_asia,2026,older_adult,150560110,PROJECTION,DERIVED,false
east_asia,2026,child,237316934,PROJECTION,DERIVED,false
east_asia,2026,young_adult,525284734,PROJECTION,DERIVED,false
east_asia,2026,mature_adult,613414873,PROJECTION,DERIVED,false
east_asia,2026,older_adult,272229240,PROJECTION,DERIVED,false
southeast_asia,2026,child,162437533,PROJECTION,DERIVED,false
southeast_asia,2026,young_adult,273000560,PROJECTION,DERIVED,false
southeast_asia,2026,mature_adult,207891417,PROJECTION,DERIVED,false
southeast_asia,2026,older_adult,61426406,PROJECTION,DERIVED,false
oceania,2026,child,10386980,PROJECTION,DERIVED,false
oceania,2026,young_adult,16822992,PROJECTION,DERIVED,false
oceania,2026,mature_adult,13261565,PROJECTION,DERIVED,false
oceania,2026,older_adult,6647509,PROJECTION,DERIVED,false
